"webform_serial","webform_sid","webform_time","webform_completed_time","webform_modified_time","webform_draft","webform_ip_address","webform_uid","webform_username","account","link","new_1667920834225","name","affiliation","keywords"
"2","13825724","08/11/2022 - 16:35","08/11/2022 - 16:35","08/11/2022 - 22:11","0","2a01:e0a:1f4:9050:16c2:bc39:6bc8:e283","45273","jocelyn.etienne","@jocelyn_etienne@scicomm.xyz","https://scicomm.xyz/web/@jocelyn_etienne","https://scicomm.xyz/@jocelyn_etienne/109308903115088099","Jocelyn Etienne","CNRS — Univ Grenoble Alpes, France","Mechanobiology Actomyosin Morphogenesis CellMigration "
"4","13845750","09/11/2022 - 15:49","09/11/2022 - 15:49","09/11/2022 - 15:49","0","0.0.0.0","0","Anonymous","@EvolBiochemist@ecoevol.social","https://ecoevo.social/@EvolBiochemist","https://ecoevo.social/@EvolBiochemist/109314396806442973","Mike Harms","University of Oregon","biophysics thermodynamics evolution ensembles conformations folding"
"5","13849690","09/11/2022 - 18:18","09/11/2022 - 18:18","09/11/2022 - 18:18","0","0.0.0.0","0","Anonymous","@quasifrodo@qoto.org","https://qoto.org/@quasifrodo","https://qoto.org/@quasifrodo/109314981344901423","John D. Russo","Oregon Health & Science University","MolecularDynamics WeightedEnsemble MarkovStateModelling EnhancedSampling Simulation"
"6","13850338","09/11/2022 - 18:52","09/11/2022 - 18:52","09/11/2022 - 18:52","0","0.0.0.0","0","Anonymous","@JulienDelpierre@qoto.org","https://qoto.org/@JulienDelpierre","https://qoto.org/web/statuses/109315110894802454","Julien Delpierre","MPI-CBG","CellBiology Development Morphogenesis TissueDynamics"
"7","13900772","14/11/2022 - 13:04","14/11/2022 - 13:04","14/11/2022 - 13:04","0","0.0.0.0","0","Anonymous","@MatthRef@piaille.fr","https://piaille.fr/@MatthRef","https://piaille.fr/@MatthRef/109342059386224565","Matthieu Réfrégiers","CBM CNRS","Microscopy Synchrotron CD UV "
"8","13915820","15/11/2022 - 07:22","15/11/2022 - 07:22","15/11/2022 - 07:22","0","0.0.0.0","0","Anonymous","@askennard@qoto.org","https://qoto.org/@askennard","https://qoto.org/@askennard/109346372426097645","Andrew Kennard","University of Massachusetts Amherst - Biology Dept","cytoskeleton microscopy ImageAnalysis Mitosis Spindle MitoticSpindle Evolution EvoCell CellMigration SoftMatter"
"9","13958282","16/11/2022 - 23:52","16/11/2022 - 23:52","16/11/2022 - 23:52","0","0.0.0.0","0","Anonymous","@maguilera@mastodon.lol","https://mastodon.lol/@maguilera","https://mastodon.lol/@maguilera/109355925719245830","Miguel Aguilera","BCAM - Basque Center for Applied Mathematics","ComputationalNeuroscience StatisticalMechanics NonequilibriumThermodynamics, ComplexAdaptiveSystems"
"10","13992410","18/11/2022 - 18:54","18/11/2022 - 18:54","18/11/2022 - 18:54","0","0.0.0.0","0","Anonymous","@lewlab@fediscience.org","https://fediscience.org/@lewlab","https://fediscience.org/@lewlab/109366077851355004","Lew Lab @ WashU (Matthew D. Lew, PI)","Washington University in St. Louis","SingleMolecule, Fluorescence, Spectroscopy, SuperResolution, SMLM, Microscopy, Amyloid, Membranes, Condensates"
"11","13992520","18/11/2022 - 19:03","18/11/2022 - 19:03","18/11/2022 - 19:03","0","0.0.0.0","0","Anonymous","@babagley@sfba.social","https://sfba.social/@babagley","https://sfba.social/@babagley/109366118954745600","Bryce Allen Bagley","Stanford University","Mathematical biophysics, neurophysics, computational biophysics, translational neuroscience, complex systems theory"
"12","14001536","20/11/2022 - 05:13","20/11/2022 - 05:13","20/11/2022 - 05:13","0","0.0.0.0","0","Anonymous","@martinvoegele@fediscience.org","https://fediscience.org/@martinvoegele","https://fediscience.org/@martinvoegele/109374174897232372","Martin Voegele","","MDSimulation MachineLearning LipidMembranes MembraneProteins GPCRs"
"13","14007424","20/11/2022 - 19:45","20/11/2022 - 19:45","20/11/2022 - 19:45","0","0.0.0.0","0","Anonymous","@dtl@mastodon.social","https://mastodon.social/@Dtl","https://mastodon.social/@Dtl/109377606030043596","David Mills","Queen Mary University of London","microscopy micro-tomography teeth bones mineralized tissues"
